"","video_id","channel_id","period1Comments","period2Comments","period3Comments","period4Comments","period5Comments","period1Likes","period2Likes","period3Likes","period4Likes","period5Likes","period1Disikes","period2Dislikes","period3Dislikes","period4Dislikes","period5Dislikes","period1Views","period2Views","period3Views","period4Views","period5Views","officialBrandContent","Brand"
"1","-jPazKfs7Dk","UCJvAF2vZr5kkZSby-QVLxfg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,"MountainView"
"2","-luBKIuM0DY","UCueit8r-1r7e2jUHiunuMxQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,FALSE,"MountainView"
"3","-nIKbYLy3_Y","UCo_rNc_X12ZmOgs3lSQqcgw",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,3,FALSE,"MountainView"
"4","1LaNSIEUpsU","UCkDS8_Ddxj3Lpe2Na6PGqrw",0,0,0,0,0,4,5,1,1,5,0,0,0,0,0,884,931,695,1112,924,FALSE,"MountainView"
"5","1zs-pQaSSiM","UCXogn8a05Uc2pSHlynEHapQ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,FALSE,"MountainView"
"6","2IXalcEmAu4","UCSK8rdFyRzzUOfTnSvsZAsg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,1,FALSE,"MountainView"
"7","3AuZPUhQlKc","UChcF5TpzpQk1o89BYOJc8HA",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,11,0,0,51,5,FALSE,"MountainView"
"8","3CanLyhdeMc","UCFNHDd8_UdyO-YNGUjaiMTw",0,0,0,1,0,0,2,0,6,9,0,0,0,0,0,40,113,63,1621,2331,FALSE,"MountainView"
"9","4Rl1j-lI2ek","UCVc-eEHRZw7OhEvr8K8i7tg",0,0,0,0,0,3,5,5,14,9,0,0,0,0,0,210,355,304,1685,1349,FALSE,"MountainView"
"10","4hi0AsnDxVo","UC4_rqm9inXIJiErx0_u8UoQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,FALSE,"MountainView"
"11","55DVtcJ-1m0","UCPYpUmRikefobVB9tmdd65A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,FALSE,"MountainView"
"12","7MwykpIR6sM","UCYk4dfPbJx2DwYuL4Tkm5Ow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,9,6,39,95,FALSE,"MountainView"
"13","7VMGIfZo0GA","UCp_UzhNQJshRMCECdmaDiCw",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,6,13,18,FALSE,"MountainView"
"14","7sEz0IwGVak","UCNBouzygCQk2JvlSxDu-tNQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,12,16,FALSE,"MountainView"
"15","9XaOFP48TeA","UC0BklZehXgJS9Ul1Ii0UZcw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,FALSE,"MountainView"
"16","A0gzt-ab3RE","UCjn0-vdOn_39u1njZQLT0EA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,"MountainView"
"17","AZ1xbDmA6lU","UCDmWxKThReTcBHuR7h6kC5w",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,33,28,29,50,FALSE,"MountainView"
"18","BW9FdjTk5no","UCBPDTTBjCUbpXuMt7Z2atnw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,FALSE,"MountainView"
"19","C7Spbpc_-ZY","UCqPUm1n4BhDNfep2kVuSI0g",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,12,13,FALSE,"MountainView"
"20","Dhcljyo0xlo","UCoOrao_Oo5jfsv_AEbDNryw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,"MountainView"
"21","FY9mvRDa5hk","UChFEgPLoeYE8W-cWKsz-RCw",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1,4,5,FALSE,"MountainView"
"22","FsFm4qrHheo","UCCsNVEHO7H-N-i8-LxnnGzA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,FALSE,"MountainView"
"23","GVVhMXu51KI","UCjXwzXJ73MuO85srGutJj_Q",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1,0,FALSE,"MountainView"
"24","HOHNij0BYiE","UCVc-eEHRZw7OhEvr8K8i7tg",0,0,0,0,1,1,4,0,1,7,0,0,0,0,0,94,109,112,119,103,FALSE,"MountainView"
"25","HcJkEnNK9i0","UCpN8Hq7vMqEB25FlQ0jZYEQ",5,0,3,1,0,1,5,1,8,9,0,0,1,0,0,353,368,291,815,772,FALSE,"MountainView"
"26","Hgu1E4qvxDU","UCqL9CUqluWdBjsrRvm5jW0w",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,FALSE,"MountainView"
"27","HqUoeofJc6M","UCo-zB3TmXq9NSp3-Un-uvMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,37,14,FALSE,"MountainView"
"28","Kw3pXZhUmLg","UCISUksTf5OOilyND0fwZiYw",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,3,6,FALSE,"MountainView"
"29","LEGner4Qy3c","UCsdqpqgsSFTRSnyyqHVSgyw",0,0,0,1,0,1,3,0,14,2,0,0,0,6,0,101,137,88,1936,827,TRUE,"MountainView"
"30","NQmKno5sKQA","UCoOrao_Oo5jfsv_AEbDNryw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,6,FALSE,"MountainView"
"31","NiXIgKwNc_U","UCCV0r3X3Kswemak0I1sBZeg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,10,FALSE,"MountainView"
"32","NxSH1B1FR2k","UCCsNVEHO7H-N-i8-LxnnGzA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,FALSE,"MountainView"
"33","O9Nky-PBUow","UCpLx-qeLWQ4ZlIOkmGYJghQ",0,0,0,1,0,0,0,2,7,3,0,0,0,1,3,11,16,15,888,1127,FALSE,"MountainView"
"34","ON47huLgwHE","UCEe_27bhPRKEQMfbCEGxPwA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,FALSE,"MountainView"
"35","OpgkbeKS8N0","UCApuBKDAxDKlmXEEvvK8IYQ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,12,3,266,46,FALSE,"MountainView"
"36","Q5m4CfG2TNY","UCV2I8VFPZBfT6lGw10iUOHQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"MountainView"
"37","Qy6o4Z4DSQw","UCsmo-PAjzC54gOjkk4S1axQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,71,0,TRUE,"MountainView"
"38","Qyz9I0ytkCQ","UCD1rIp8sIgD-E46WhQDVYAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,FALSE,"MountainView"
"39","UH5lBYjGm00","UCQkLDuS57Dlq5-4-u14uvDw",0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,5,11,14,816,1199,FALSE,"MountainView"
"40","USj4tdELbFk","UCTLNBHdqV_dEavWe7kyGbxQ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,7,4,140,129,FALSE,"MountainView"
"41","Uv-zDtFSqLw","UCfSDLlG1G8gbCj95BI8iKiQ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,38,4,FALSE,"MountainView"
"42","VKNts3JFa04","UCBbArn5y30XYpQLJo3iyCDQ",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,21,41,35,197,301,FALSE,"MountainView"
"43","VWf35liEA2A","UClmWHv4Z_B_71Xeplu_ZUEA",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,83,0,FALSE,"MountainView"
"44","Xm3Yzjyho3I","UCihMV4t5apOvv_vx9eZDNZA",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,6,14,FALSE,"MountainView"
"45","YY3vQ1RsUQ0","UCXvb4wOXl-HfZDIokE23mRQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,FALSE,"MountainView"
"46","Z-_RbT6JMtE","UC01kx86y_MROfUDoRHrClHQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,FALSE,"MountainView"
"47","Z_FxfhF3HXw","UCNTsoCNvlX9AhIfr75XQrqg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,12,13,FALSE,"MountainView"
"48","Ze17wAbkZvk","UCfRv-8G-FideWtcHQekqOSA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,8,FALSE,"MountainView"
"49","_Ox3jWFLYOs","UCLIMWrg3hLAqSlahLgW_kqg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,FALSE,"MountainView"
"50","a3SA6AcL2Vs","UCbPPoBJruYUkVNl9H4Yh-yA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,6,FALSE,"MountainView"
"51","cz23N7GPslM","UCz9c0GZ422Vi9uLBUJHJPdw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,FALSE,"MountainView"
"52","e1iSEWj5254","UC4_rqm9inXIJiErx0_u8UoQ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,3,FALSE,"MountainView"
"53","e7xXNgQJGAg","UC95YMFr-CN8aI8wJuFKAgXg",0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,16,11,16,28,58,FALSE,"MountainView"
"54","eMm2b611-qA","UCqTLigurUVKYnM7NEXUcTnw",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,7,4,11,16,FALSE,"MountainView"
"55","fyYYuhyK1GE","UCZFypqQvmpTynszIjwQjTPg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,56,35,FALSE,"MountainView"
"56","fyx2MEITZjA","UCAoZJ_Un_qQc1wCNmB1O_oA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,8,28,45,FALSE,"MountainView"
"57","hA7IEpAXrDI","UCS4kkUFM-1a8aySeTYYz5qw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FALSE,"MountainView"
"58","kCvF0GmiHq4","UC3kvAueNEMwDp2Pfgnb28Tg",1,0,0,3,3,2,5,4,40,43,0,0,0,1,3,872,1227,992,7145,9702,FALSE,"MountainView"
"59","kZaBaaHnAMU","UC2LWB77hD6gehQSc06vINRQ",0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,23,53,45,230,429,FALSE,"MountainView"
"60","lviLWu8yCHs","UCQfYK8VOluh80omK6-cPdoA",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,21,11,80,121,FALSE,"MountainView"
"61","mbZaobg59QM","UCWH0K47cp0Y76qtPvRflcYA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,6,7,FALSE,"MountainView"
"62","mjwUVZHBcoY","UCsdqpqgsSFTRSnyyqHVSgyw",6,9,18,17,141,58,78,76,105,1298,3,1,5,9,34,10065,15719,11685,14507,225283,TRUE,"MountainView"
"63","rZSVRW5BX58","UCpvc8pf8S5i_tBRmXMqSPcw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,"MountainView"
"64","rpgl6wzXBR8","UCcrqX4WJdHcXCo-YL5l5t1w",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,FALSE,"MountainView"
"65","s49Do8Wcr-E","UCKQBLOIaKCt-J9ZbEBFd6Vw",0,0,0,0,0,0,0,0,32,27,0,0,0,0,0,8,9,11,2498,4543,FALSE,"MountainView"
