"","video_id","channel_id","period1Comments","period2Comments","period3Comments","period4Comments","period5Comments","period1Likes","period2Likes","period3Likes","period4Likes","period5Likes","period1Disikes","period2Dislikes","period3Dislikes","period4Dislikes","period5Dislikes","period1Views","period2Views","period3Views","period4Views","period5Views","officialBrandContent","Brand"
"1","-18olSDEK30","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"2","-RbBggaOwV4","UCdw3RrAqWb_CQxZVNQI4xng",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"3","-lcdc02_kLs","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,"Reese"
"4","-niXDr6ymJg","UCSb2LQ-8eGVe-IWcJ4AloVg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,34,23,32,18,FALSE,"Reese"
"5","05lxjWIwVj4","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"6","08qZ-Cxu0LM","UC5PJ-2i8nj2-iY8UlzUgOPg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,26,45,16,FALSE,"Reese"
"7","0UqiZ49Qa9E","UCCvvUTdM1CRGj6bdwhQEDcQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FALSE,"Reese"
"8","0YB59epxegg","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"9","0abUDgC-xqE","UCrWoEwaRQb9BD6cTzJj3O3g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,3,FALSE,"Reese"
"10","0d-kueqpmAc","UCIppSMyc_BWwf-yCvXRxrEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,"Reese"
"11","0tDVqjzqU-Q","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"12","12g6xTrRLuE","UCN5Zf3Zyb9Bp9NeqtNwnc5w",0,1,1,1,-1,0,1,1,2,2,0,0,0,1,0,130,272,401,392,277,FALSE,"Reese"
"13","1opWhskhufA","UCec_q-2VGiOZA8d7-FmV7wA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,4,FALSE,"Reese"
"14","25F-PXTVqKM","UCNkqM-DUhdQDFYJ90c8_QCg",0,0,0,0,1,5,5,6,4,3,1,0,0,1,0,153,368,246,342,244,FALSE,"Reese"
"15","28gekyVYlsY","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,"Reese"
"16","2TkY9h8zioM","UC-gBbSig6gYhcAIEYRlcAOw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,FALSE,"Reese"
"17","2_Dryg0CwvA","UCSwLKKHdyE2gpDO8n8_IUpw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4,7,3,FALSE,"Reese"
"18","2_vKHSh81N8","UCV6oZWJcY1Pm54XWfafabrA",0,0,2,1,0,1,1,1,0,3,2,0,0,0,0,262,444,367,538,554,FALSE,"Reese"
"19","2cQW5TsaoF0","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"20","33c9MAJqvJA","UCWrpB6I2YQzjKbLLZE53pZQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,22,30,21,FALSE,"Reese"
"21","3UK0GiSzZ9c","UCzl8tLKsTyXZK5e_--TrvRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"22","4Csg94sptEM","UCpl_Y-hZu0myej2sL0L-0NQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,6,0,FALSE,"Reese"
"23","4D4-ItzmFR0","UCC9uqoIkY8Nd7J9Gnk98W1w",0,0,0,1,0,0,2,1,0,0,1,0,1,0,1,41,65,47,84,50,FALSE,"Reese"
"24","4_FROelY81Q","UCAavor2Xh4FT9A_fOb8T5gg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,"Reese"
"25","4dntJ_QNwnY","UCw72Rlb2FUc0kMcYcXdSvhw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,FALSE,"Reese"
"26","4hGorSibSg0","UCunzGTg3aTntz0iDNUXkdTQ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,21,18,27,17,FALSE,"Reese"
"27","4iHjK0NRUSI","UCKO70hzT4veVuIg4HfAKh_Q",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"28","5JmTTWjaWNM","UCQaJ8xGdpIuEht3WRtuGWdQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8,18,8,FALSE,"Reese"
"29","5YPKpGLt_MI","UCj09cH2RZFUsynmGaP5q1LA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"30","5aND3IAMRLM","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"31","6-PG4U3O524","UCkonzIPScQDis_tezX1g_5A",0,1,1,1,0,2,10,4,8,1,0,0,0,0,0,131,429,278,394,245,FALSE,"Reese"
"32","65W-EQTOzjs","UCagizXJQtU7zx9oCrO8yNsw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,4,FALSE,"Reese"
"33","6gxIZfc4WJY","UCVlhtJHs4KzFGq_tjKeeP_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,"Reese"
"34","6xrmPpwyNaU","UCSYkNMe2rgBeTdGgQV_blKw",31,8,8,8,13,65,119,58,63,76,2,3,1,2,3,5670,12385,5428,6815,5266,FALSE,"Reese"
"35","7Z_2lmo3sAg","UCF3Mzit5NXPJWvBXyoAVHRg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,5,18,16,FALSE,"Reese"
"36","7ZbLKDwUrHU","UCJyy_r6OuL20hkPCMGHgsKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"37","7bzh2Ge_xSY","UCToQqDo_-6hlUOU1NuE3Aqg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,43,51,51,31,FALSE,"Reese"
"38","7dxPtFUAHv4","UCbZ5z159lqQeRZvN-tVgFFA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"39","8FQG_XpyZvE","UCmgCCl8DhpzHw7XDZIAC4VA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Reese"
"40","8I7xccEkL6M","UCrFqQ00yClNzlrfd4YiDMsA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,35,19,56,27,FALSE,"Reese"
"41","8rot82VRIew","UCFCvI7xUfc0LA5GxXvFQWtw",0,0,0,0,0,11,8,0,4,3,0,0,0,0,0,89,148,49,100,58,FALSE,"Reese"
"42","9JAtSsuBgA4","UCjCdu33b6Qi2M6Elk-sezmA",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,16,29,16,25,22,FALSE,"Reese"
