"","video_id","channel_id","period1Comments","period2Comments","period3Comments","period4Comments","period5Comments","period1Likes","period2Likes","period3Likes","period4Likes","period5Likes","period1Disikes","period2Dislikes","period3Dislikes","period4Dislikes","period5Dislikes","period1Views","period2Views","period3Views","period4Views","period5Views","officialBrandContent","Brand"
"1","-02aqyLxlZs","UCOengSONSArs4HnBIErnAtw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"2","-07gvNfhbTQ","UCrW2eoKdOlpFSlKHm98s8UQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,"ShockTop"
"3","-0RXZbVQTPg","UCVEWn1MA5y17UA5jW7cCBag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,FALSE,"ShockTop"
"4","-AbohG1vtPI","UCzas7LQrXiyyYVMJipf1arg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,FALSE,"ShockTop"
"5","-EyrLKiPY0s","UCAwvaioGwfm151M0DOoSoJw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,"ShockTop"
"6","-HmUsu8ETTs","UCDrrhsy9IEjiIUUBJ70o3hQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,"ShockTop"
"7","-L9eD4EqIqA","UCwbBm4WnIuAAbMspo3G0Y9A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,FALSE,"ShockTop"
"8","-PpoovuyaAg","UCmTK2lkpA_lsnOxELDjdJyw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"9","-U50fzHw51g","UCQRk1VOyXaSjNwblBLNr2vA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,FALSE,"ShockTop"
"10","-X-dJ0A_8_0","UCD06xlxLFVRM86YeEUAy5xQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"11","-Xmj_uY-VcU","UCjUMWO7c2o8thQItnL-05Cw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,FALSE,"ShockTop"
"12","-iBBjvinfAw","UCoj5CCxmHD2h2qCSYx6zyaA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"13","-yzf4J2ix2A","UClUQwd92QaAvAymMbHyWbLg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,FALSE,"ShockTop"
"14","05YjJzrn30s","UCpfUlFZlM1yfcJG5dl9fwyg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,TRUE,"ShockTop"
"15","06XWxpLkRUI","UCcFG2Y42NSXM3Yd5kID09jw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"16","0C3bXWat5Bc","UCj9uFx1_UeTT31IAsuvmRbw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"ShockTop"
"17","0MfIcbksmS4","UCcm33l460hvUiKWztuMYHHg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,8,7,FALSE,"ShockTop"
"18","0Y6Z7FUKULA","UCLrWtoodMhG7l23MhjjOh5Q",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,FALSE,"ShockTop"
"19","0kJ5PN2v8B4","UCfDqM9QGzYkq0-vlAjF8ceg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,"ShockTop"
"20","0zsC4Xgx1y8","UC89gF9jl-GKAxbfz19VCfQg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,FALSE,"ShockTop"
"21","17J0c0ynxmE","UCpfUlFZlM1yfcJG5dl9fwyg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,TRUE,"ShockTop"
"22","19hkEa-M1p4","UCR7v8AeOmbj2sJ_BMQuccUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,FALSE,"ShockTop"
"23","1CvrhYsPfG0","UCrW2eoKdOlpFSlKHm98s8UQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,FALSE,"ShockTop"
"24","1WwMyNdIQSM","UCLIMWrg3hLAqSlahLgW_kqg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,FALSE,"ShockTop"
"25","1ZRhHkxCGc8","UCb5IBwS_Df_KZqHzy0U98vQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,FALSE,"ShockTop"
