"","video_id","channel_id","period1Comments","period2Comments","period3Comments","period4Comments","period5Comments","period1Likes","period2Likes","period3Likes","period4Likes","period5Likes","period1Disikes","period2Dislikes","period3Dislikes","period4Dislikes","period5Dislikes","period1Views","period2Views","period3Views","period4Views","period5Views","officialBrandContent","Brand"
"1","--1Ry1bEibE","UCZruTBLpMJNHHU0QOAdST9w",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,"Snickers"
"2","--jNHIXB00g","UCxHJ9b0PLAf_oYlXC4Qm8Uw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Snickers"
"3","--rs_w6Hhxw","UC_NByTh5baXpkoXfUBCoSTg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,FALSE,"Snickers"
"4","-08LUYM1CpM","UCml3B_RD50eNS8HF4UBbfHw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,12,11,FALSE,"Snickers"
"5","-0LQw4QWepg","UCHHZCN53hIjn_BYvGD4reiQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,4,9,8,FALSE,"Snickers"
"6","-0UYheY6Rgc","UCqv2C6WQqAzsT7hDDohvOzA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Snickers"
"7","-0_sZKq6HJ4","UCjWPMiyJ0r4gq1p0_LW0XUg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,65,31,TRUE,"Snickers"
"8","-0hekYBst6w","UC8sBSAl2nL_vlzdBeqR2RNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,FALSE,"Snickers"
"9","-0hlswCc-kA","UCQlGBspQdj17WOPBQMT1k9A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,2,9,5,FALSE,"Snickers"
"10","-1iJRW_hMDI","UCaq9D_rTClAHbQaUN6bsM2A",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,54,128,70,52,FALSE,"Snickers"
"11","-1rxg0YrPRE","UClEMqUNz0WWoewZYwM4hG5A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,3,FALSE,"Snickers"
"12","-1vw6vmC0Vs","UCzhbNMzniRrLhdrhs4jtbDw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,4,1,FALSE,"Snickers"
"13","-23jdDZjd8Y","UC56sAMwrrC_pE8pVGeCT6ug",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,1,FALSE,"Snickers"
"14","-2gWahgx5LY","UCOthler-5DWsbD14vSkb7yg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,"Snickers"
"15","-2t128HXdJE","UCcjJGIK09SQl0qKjNwZM7Xw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,"Snickers"
"16","-343UI_MNK8","UCEz2fmlPw8JpY2WbXniZoNA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,26,10,18,18,FALSE,"Snickers"
"17","-34NgsqzOTE","UC7BPlsuNMxJiDu9LZw_auRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Snickers"
"18","-34_epa4Yuc","UCC4AGihfweheoafkdObSkkQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,FALSE,"Snickers"
"19","-34odinLgEc","UCidN1gp9Fepn842gG_70RkQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Snickers"
"20","-3nRJToRxJw","UC0BI3sDuIyf1R_yGgi33Orw",1,0,0,1,0,4,5,2,5,7,0,0,0,0,0,437,713,544,855,719,FALSE,"Snickers"
"21","-3vUbYxNetM","UCuJDnNwG3CaQMSgWdEWnPow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,15,7,6,FALSE,"Snickers"
"22","-3x157ZTEN4","UCqTNZ729M9iBvEplllap_Nw",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,20,18,36,16,FALSE,"Snickers"
"23","-43Qi71DHw0","UCxytOEPP99jj8mqVGAO7haQ",0,-18,0,1,0,4,8,5,2,7,0,0,0,0,0,358,630,456,618,423,FALSE,"Snickers"
"24","-4ClU9O5t2s","UCAtEPdW0a2ysq-giknSAkxw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Snickers"
"25","-4PHpsHsT8A","UCUTbhqPJxiPy9SS0-XPUQEg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Snickers"
"26","-4W-SmBcSIM","UCcjJGIK09SQl0qKjNwZM7Xw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Snickers"
"27","-4n8mBXL5Ns","UCi18hIk3tL7qd6GlgOGIdXA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,FALSE,"Snickers"
"28","-5CndfUPELg","UCcjJGIK09SQl0qKjNwZM7Xw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,"Snickers"
"29","-5IUlPmPR9o","UCeYr2FEgd76bFvDv2MmBxQQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,20,17,FALSE,"Snickers"
"30","-5NLH9dJygk","UC0DrbI2zFYnev_405sAagyQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,FALSE,"Snickers"
"31","-5nuA8JaApM","UCobq66d98hK0ULIuWQkkwHw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Snickers"
"32","-5on66ewsX4","UCkYZmORrVTPy0QpgrCoZQJQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,"Snickers"
"33","-5poP4xNIfs","UCY7RSblRdef_UL_bJ6fNrVg",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,5,12,12,22,FALSE,"Snickers"
"34","-6FOAsXPWM0","UCL-wngbma44y6x8g39u10Uw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Snickers"
"35","-6Najoi4iLs","UC2d2Nbu4Wgd9Yc0UIwRf41w",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,1,FALSE,"Snickers"
"36","-6o4AYMKSHs","UC-1y0jQC-9zmxXPjs-REm7Q",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Snickers"
"37","-6rQ22dnefA","UCVE5CdjINiRMUnvduH0vX-w",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,"Snickers"
"38","-74W7Q8JteA","UCXpbj1ZMoPV0yRLgHDLOQZw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Snickers"
"39","-7HuW94jUso","UChldHPU2WgCsXe7z-XPBg3Q",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42,73,52,96,44,FALSE,"Snickers"
"40","-7ISOO0wal4","UC8AcMVQDFegD41GSkNKi0Hg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,"Snickers"
"41","-7YmmAq1248","UCcjJGIK09SQl0qKjNwZM7Xw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,"Snickers"
"42","-7xmK6mGNVs","UClqBGBdSr8EltohviHtmKCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Snickers"
